SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_CREDIT,AMT_INCOME_TOTAL,DIFFERENCE
433294,Cash loans,4050000.0,405000.0,3645000.0
210956,Cash loans,4031032.5,430650.0,3600382.5
434170,Cash loans,4050000.0,450000.0,3600000.0
315893,Cash loans,4027680.0,458550.0,3569130.0
238431,Cash loans,3860019.0,292050.0,3567969.0
240007,Cash loans,4050000.0,587250.0,3462750.0
117337,Cash loans,4050000.0,760846.5,3289153.5
120926,Cash loans,4050000.0,783000.0,3267000.0
117085,Cash loans,3956274.0,749331.0,3206943.0
228135,Cash loans,4050000.0,864900.0,3185100.0
114967,Cash loans,562491.0,1.17E8,-1.16437509E8
336147,Cash loans,675000.0,1.800009E7,-1.732509E7
385674,Cash loans,1400503.5,1.35E7,-1.20994965E7
190160,Cash loans,1431531.0,9000000.0,-7568469.0
252084,Cash loans,790830.0,6750000.0,-5959170.0
337151,Cash loans,450000.0,4500000.0,-4050000.0
317748,Cash loans,835380.0,4500000.0,-3664620.0
310601,Cash loans,675000.0,3950059.5,-3275059.5
432980,Cash loans,1755000.0,4500000.0,-2745000.0
157471,Cash loans,953460.0,3600000.0,-2646540.0
